id,station,name,type,logo,genre,broadcaster,language,country,region,bitrate,format,geo_fenced,home_page,reserved2,logoMissing,logoFile,Match1,Match2,Match3,Match Chk
549,http://edge-bauerall-01-gos2.sharp-stream.com/absoluteclassicrock.aac,Absolute Classic Rock,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Absolute Classic Rock.jpg,Absolute Classic Rock,ACC-bauerall,48s,Absolute Classic Rock
550,http://edge-bauerall-01-gos2.sharp-stream.com/absoluteradio.aac,Absolute Radio,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Absolute Radio.jpg,Absolute Radio,ACC-bauerall,48s,Absolute Radio
551,http://edge-bauerall-01-gos2.sharp-stream.com/absolute00s.aac,Absolute Radio 00s,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Absolute Radio 00s.jpg,Absolute Radio 00s,ACC-bauerall,48s,Absolute Radio 00s
552,http://edge-bauerall-01-gos2.sharp-stream.com/absolute60s.aac,Absolute Radio 60s,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Absolute Radio 60s.jpg,Absolute Radio 60s,ACC-bauerall,48s,Absolute Radio 60s
553,http://edge-bauerall-01-gos2.sharp-stream.com/absolute70s.aac,Absolute Radio 70s,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Absolute Radio 70s.jpg,Absolute Radio 70s,ACC-bauerall,48s,Absolute Radio 70s
554,http://edge-bauerall-01-gos2.sharp-stream.com/absolute80s.aac,Absolute Radio 80s,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Absolute Radio 80s.jpg,Absolute Radio 80s,ACC-bauerall,48s,Absolute Radio 80s
555,http://edge-bauerall-01-gos2.sharp-stream.com/absolute90s.aac,Absolute Radio 90s,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Absolute Radio 90s.jpg,Absolute Radio 90s,ACC-bauerall,48s,Absolute Radio 90s
556,http://edge-bauerall-01-gos2.sharp-stream.com/countryhits.aac,Absolute Radio Country,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Absolute Radio Country.jpg,Absolute Radio Country,ACC-bauerall,48s,Absolute Radio Country
557,http://edge-bauerall-01-gos2.sharp-stream.com/scala.aac,Scala Radio,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Scala Radio.jpg,Scala Radio,ACC-bauerall,48s,Scala Radio
558,http://edge-bauerall-01-gos2.sharp-stream.com/magic1054.aac,Magic (London),r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Magic (London).jpg,Magic (London),ACC-bauerall,48s,Magic (London)
559,http://edge-bauerall-01-gos2.sharp-stream.com/magicchilled.aac,Magic Chilled,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Magic Chilled.jpg,Magic Chilled,ACC-bauerall,48s,Magic Chilled
560,http://edge-bauerall-01-gos2.sharp-stream.com/magicsoul.aac,Magic Soul,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Magic Soul.jpg,Magic Soul,ACC-bauerall,48s,Magic Soul
561,http://edge-bauerall-01-gos2.sharp-stream.com/magicmellow.aac,Mellow Magic,r,local,,Bauer Media,English,UK,Europe,48s,MP3,No,,NULL,FALSE,Mellow Magic.jpg,Mellow Magic,ACC-bauerall,48s,Mellow Magic
